,Inhibitory neurons,Granule neurons,ENS neurons,Smooth muscle cells,Vascular endothelial cells,Stromal cells,Ciliated epithelial cells,Bronchiolar and alveolar epithelial cells,STC2_TLX1 positive cells,Syncytiotrophoblasts and villous cytotrophoblasts,Excitatory neurons,Erythroblasts
TFORF2894-MTA1,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.16666666666666666,0.08333333333333333,0.0,0.0,0.25
TFORF1341-POU5F1,0.2631578947368421,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.0,0.0,0.3684210526315789
TFORF0801-ATF3,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
TFORF0799-ATF3,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.3076923076923077
TFORF0084-KCNIP2,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666
TFORF0303-CREM,0.0,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.2,0.0,0.0,0.3333333333333333
TFORF1445-GTF2H3,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.0,0.0,0.23809523809523808
TFORF0143-FXN,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.2727272727272727
TFORF0856-VSX1,0.0625,0.0,0.0625,0.1875,0.0,0.0625,0.1875,0.25,0.0,0.0,0.0,0.1875
TFORF0085-KCNIP2,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.42857142857142855
TFORF0086-LIN28B,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.09090909090909091
TFORF0314-CREM,0.0625,0.0,0.0,0.0625,0.0,0.125,0.1875,0.125,0.125,0.0,0.0,0.3125
TFORF1494-FOSL1,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.0,0.0,0.26666666666666666
TFORF0372-NFYB,0.10526315789473684,0.0,0.0,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.0,0.10526315789473684,0.0,0.0,0.2631578947368421
TFORF1875-CCNT1,0.375,0.0,0.0,0.125,0.0,0.0,0.1875,0.0625,0.125,0.0,0.0,0.125
TFORF1795-CNBP,0.1875,0.0,0.0,0.0,0.0,0.125,0.1875,0.125,0.1875,0.0,0.0,0.1875
TFORF1655-SPIB,0.35714285714285715,0.0,0.0,0.14285714285714285,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.2857142857142857
TFORF0640-NHP2,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.3157894736842105
TFORF0133-ZNF780A,0.4166666666666667,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333
TFORF1709-ZFP41,0.0625,0.0,0.0,0.0,0.0,0.0625,0.125,0.1875,0.25,0.0625,0.0,0.25
TFORF2192-RFXANK,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.18181818181818182,0.0,0.0,0.2727272727272727
TFORF2291-HES6,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,0.0,0.5
TFORF2825-IKZF1,0.07142857142857142,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142
