,TF,batch,louvain,n_counts,n_genes,percent_mito,dpt_pseudotime,discrete_time,split,cell_type,Cluster Enriched TFs_colors,highlight_celltype,Depth_from_root,Cluster Enriched TFs,velocity_self_transition,condition,condition_counts,clusters_gradients,terminal_states,terminal_states_probs,member_12-1_absorption,member_11-1_absorption,member_11-0_absorption,member_7-1_absorption,member_12-0_absorption,member_10_absorption,member_5_absorption,member_15_absorption,member_14_absorption
"R1.14,R2.13,R3.57,P1.22-0-1",TFORF3191-ZNF436,1,5,3223.0,2290,0.016444307,0.08107186,0.08107186,train,Squamous epithelial cells,others,squamous epithelial,4.0,others,0.0,TFORF3191-ZNF436,5,15,,0.4609894089523608,0.059849624850064516,0.08242728508795362,0.10045618247031717,0.07481634211644404,0.09761877422202665,0.14064574536585073,0.17244312616297022,0.14933816070356445,0.12240557766129093
"R1.24,R2.84,R3.46,P1.22-0-1",TFORF3191-ZNF436,1,0,2105.0,1634,0.014726841,0.03432239,0.03432239,train,Squamous epithelial cells,others,squamous epithelial,4.0,others,0.0,TFORF3191-ZNF436,5,15,,0.599942145693827,0.061649529742389186,0.0846047475764131,0.10397729298769835,0.07688101999686495,0.10129378445655017,0.14795481611247782,0.13339472476901004,0.15512068043625674,0.13512371125652864
"R1.47,R2.75,R3.61,P1.38-2-1",TFORF3191-ZNF436,1,5,2193.0,1638,0.016415868,0.091175206,0.091175206,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,4.0,others,0.0,TFORF3191-ZNF436,5,15,,0.43405310310832057,0.05977320188320598,0.0821492410869884,0.09941123413542037,0.07443641958245696,0.09724087287366684,0.13900206274603183,0.17886862397301062,0.14806945085485615,0.12104979254021121
"R1.63,R2.63,R3.26,P1.38-2-1",TFORF3191-ZNF436,1,1,4161.0,2686,0.02211007,0.023609126,0.023609126,train,Stromal cells,others,stromal,6.0,others,0.0,TFORF3191-ZNF436,5,15,,0.6974363641414861,0.061026288977602365,0.08482313451864963,0.10444555647265785,0.07872246592823688,0.10136411511746657,0.147770100541715,0.13212613136951293,0.16456886198727808,0.1251535450844794
"R1.86,R2.66,R3.68,P1.62-3-1",TFORF3191-ZNF436,1,1,7261.0,3881,0.016113482,0.026055433,0.026055433,train,STC2_TLX1 positive cells,others,others,3.0,others,0.0,TFORF3191-ZNF436,5,15,,0.6745604688583711,0.060598538958139075,0.08482953481467505,0.10416522166436222,0.0787669273093848,0.10074114060827269,0.14535649850050403,0.13462993444278937,0.16757949992468546,0.12333295787907889
"R1.34,R2.35,R3.83,P1.23-0-2-0",TFORF2070-MYB,0,5,4675.0,2945,0.02459893,0.13425243,0.13425243,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,9.0,others,0.0,TFORF2070-MYB,1,5,,0.5282993292344539,0.05727432539684841,0.07958629558307259,0.09602206016247784,0.0723151366786134,0.09419541203308196,0.13406669025519777,0.20805116214348138,0.14308139428383493,0.11540860243236455
"R1.91,R2.18,R3.36,P1.30-0-0",TFORF0230-ZNF595,0,0,2548.0,1873,0.027864993,0.05914746,0.05914746,train,Squamous epithelial cells,others,squamous epithelial,8.0,others,0.0,TFORF0230-ZNF595,6,14,,0.557923472199797,0.06129629485520086,0.08373788912162519,0.10452289557509821,0.07584749919097458,0.10054239277140464,0.14588174113512214,0.13161211462984584,0.15261358189377888,0.14394618780527896
"R1.09,R2.46,R3.92,P1.30-1-1",TFORF0230-ZNF595,1,4,2402.0,1802,0.017069109,0.03485623,0.03485623,train,Erythroblasts,others,others,3.0,others,0.0,TFORF0230-ZNF595,6,15,,0.6058090343799415,0.061313672918630525,0.08474912662327777,0.10407581204428219,0.07701718523317166,0.10067120792524341,0.1491320208565764,0.13296187779240945,0.15552776450151437,0.13455163836426243
"R1.21,R2.21,R3.65,P1.38-2-1",TFORF0230-ZNF595,1,5,2609.0,1865,0.02223074,0.09327176,0.09327176,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,5.0,others,0.0,TFORF0230-ZNF595,6,5,,0.4352346177940164,0.05887483878148294,0.08180456107227742,0.09877942923246422,0.07457642237333037,0.09666230938604854,0.1373558083575644,0.1854646199574858,0.14715441010304026,0.11932857235525778
"R1.17,R2.45,R3.94,P1.62-3-1",TFORF0230-ZNF595,1,11-1,2514.0,1793,0.024264121,0.3169592,0.3169592,train,STC2_TLX1 positive cells,others,others,8.0,others,0.0,TFORF0230-ZNF595,6,11-1,,0.8324307080516318,0.022232029536427958,0.6764274710710283,0.05021038714758991,0.02669071615602794,0.04187999688475449,0.04693039543248682,0.04487671880786124,0.050848574519655194,0.03990390842581296
