,Pearson_r
DEFB107B,0.8554911695172635
DENND1B,0.8611573589250286
DENND6B,0.8373152779257529
DEPDC1B,0.8712577361741751
DEPTOR,0.8708752956018541
DERL3,0.8702383576433423
DES,0.8361862914812851
DET1,0.872838801163934
DGKB,0.87050955871433
DGKG,0.8878829279018495
DGKH,0.8843340448728856
DGKI,0.8892607733036229
DGKK,0.9006029157669172
DHRS2,0.9348098926366502
DHRS4L1,0.8834848914416142
DICER1,0.8664567097619279
DIDO1,0.864865374212207
DIO2,0.9178467536805948
DIP2B,0.8585629497723666
DIP2C,0.861776821238251
DIRC3,0.8808731686075099
DISC1FP1,0.854534781990441
DISP1,0.8756379328718171
DKK1,0.8736602392290359
DKK2,0.8062647717898812
DKKL1,0.865356183455011
DLC1,0.49223629915697015
DLEC1,0.8415137704004558
DLEU1,0.8718187076945276
DLEU7,0.8897701422973229
DLG5,0.8661123914911553
DLGAP1-AS4,0.8956343042302479
DLGAP5,0.8121247244710508
DLK1,0.8292023657363833
DLL1,0.8895011828065572
DLL3,0.879659674869186
DLSTP1,0.8224003306924628
DLX3,0.8862408691257694
DLX5,0.909618570109531
DLX6,0.9278839794406453
DLX6-AS1,0.8696744089401961
DMBX1,0.9445965534250167
DMD,0.8719612815930148
DMRT1,0.8140592464076973
DMRTA1,0.8823328835583407
DMXL1,0.7999374858019724
DNAH10,0.8770569433376423
DNAH12,0.8852821666548938
DNAH14,0.8562704812959128
DNAH5,0.9047705392169694
DNAH6,0.893337171000549
DNAH7,0.9107260996162663
DNAH8,0.8344506072858426
DNAH9,0.8690608493947884
DNAI1,0.9117739763853577
DNAJC1,0.7005427845678963
DNAJC10,0.8630588798264445
DNAJC15,0.8580185774531345
DNAJC3-AS1,0.8565982305887688
DNER,0.9051854533269827
DNM3,0.8791823545347243
DNM3OS,0.8567450440914235
DNMT1,0.8591916267403467
DNMT3A,0.7862534967089011
DNMT3L,0.8237454840384768
DOC2B,0.8030493522969305
DOCK10,0.8632208465854272
DOCK11,0.8816727686594779
DOCK4,0.7871396990598356
DOCK6,0.8593895766105605
DOCK9,0.8647721654561292
DOK6,0.8462902410261998
DOK7,0.892847207327126
DOPEY1,0.87137248153715
DPEP1,0.849541173254202
DPF3,0.8955411778875737
DPH1,0.893281240439471
DPH6,0.8626103592141183
DPH6-AS1,0.8545673991768497
DPP6,0.7690778472914038
DPPA2,0.8607018413258707
DPPA3,0.8734128417189397
DPY19L1P2,0.8769271477473808
DPY19L2P1,0.847878924326374
DPY19L2P2,0.8493160064891714
DPYD,0.8487313849563136
DPYSL4,0.9044837750222935
DRC1,0.8960321402396038
DRC3,0.8844517059894978
DRD3,0.8919725079826669
DSC2,0.8687778739149077
DSCAM,0.8205777757018348
DSCAML1,0.8947110811192927
DSCAS,0.8976206321566759
DSCR9,0.902599836061542
DSE,0.8712015907384153
DSP,0.8416209497509526
DTNA,0.8733240206791169
DTWD2,0.8467262895021825
DUSP16,0.872047747650914
DUSP27,0.8498066501943603
DUSP4,0.8280218093438818
DUSP6,0.4654505474812706
DYNC1I1,0.8486164156114735
DYNC2H1,0.865289725758659
DYSF,0.8651408159263183
E2F2,0.8870247814536779
E4F1,0.9221374885879485
EBF1,0.784250674586229
EBF2,0.8505731905569057
EBF3,0.886301402246789
EBF4,0.853252755769337
ECM1,0.8995317926384825
ECSCR,0.8742828369220597
ECT2,0.7981964282682408
EDN1,0.9073115127377293
EDN3,0.9012214016458608
EDNRA,0.8820857189914386
EDNRB,0.8104748509035699
EFCAB5,0.8920572670170976
EFCAB8,0.8667882210193373
EFEMP2,0.8724720864905475
EFHB,0.9030610012877682
EFNA1,0.8594782227926562
EFNB2,0.8714975221392129
EGF,0.8735955060380527
EGFL6,0.8461864338388109
EGFLAM,0.8278978814365963
EGFR,0.8744996491396196
EGR2,0.902045572851561
EID1,0.8008166880967362
EIF1B-AS1,0.87354554812607
EIF2S2,0.8009104033734968
EIF3CL,0.8920762028283984
EIF4E2,0.8766792429675455
ELAVL2,0.8692091244893374
ELAVL4,0.9001124770074378
ELF1,0.8630371692672483
ELF2,0.8718097956817236
ELF3,0.898266248001755
ELF4,0.8669888516010552
ELF5,0.8052204766856071
ELK3,0.8577945763805154
ELL2,0.8797138766730459
ELMO1,0.8679811541385122
ELMOD1,0.899536383970842
ELMOD3,0.888734205889585
ELN,0.7700124315969245
ELP4,0.861415078117978
EMCN,0.835669818019947
EMID1,0.9012252134710383
EMILIN2,0.8208301775262142
EMP1,0.8806238868128828
EMX2OS,0.771970469962412
ENC1,0.844879961326441
ENDOD1,0.9047872574863128
ENG,0.8510345231969723
ENKUR,0.9279166994135459
ENOX1,0.8817141690638488
