,Pearson_r
CFAP61,0.8682129866319285
CFAP74,0.9237114772944921
CFD,0.7945929319806626
CFLAR,0.8864349869451588
CFTR,0.88081845389446
CHD1L,0.8678591905483946
CHGA,0.861062304295192
CHIC1,0.8734253972290911
CHL1,0.9013952619835757
CHM,0.8647312066434448
CHMP1B2P,0.8880586077216203
CHMP4C,0.8774370922274553
CHMP6,0.8924985163736582
CHN2,0.8702601052857274
CHODL,0.8003401313133242
CHRM2,0.8003671876990942
CHRM3,0.7247794618903672
CHRNA3,0.9004951748467765
CHRNA9,0.8734990577659237
CHRNB4,0.8657586324678244
CHRND,0.9185788154733006
CHRNG,0.8961942141684334
CHST1,0.8185809565818077
CHST11,0.868132374126184
CHST9,0.870937239509003
CHSY1,0.8700386881369883
CHSY3,0.8601108012862155
CISD3,0.8336973565535242
CITED2,0.8729462779558419
CKMT1B,0.8940533201416663
CKS1B,0.634404913454165
CLCN1,0.9103205956515351
CLDN11,0.8048410463030479
CLDN6,0.8730479441229612
CLEC2A,0.860047493625362
CLEC2L,0.8428777129024999
CLIC1,0.8654338066184586
CLIC5,0.8871462703785877
CLIP4,0.8941497141924962
CLMN,0.546297747516864
CLMP,0.7059796384924747
CLNK,0.9248069620636618
CLRN1,0.8927579883609098
CLRN1-AS1,0.8974359500709889
CLSTN2,0.5172885598920522
CLU,0.8664013220318981
CLVS1,0.923464783297859
CLVS2,0.8869879902132739
CMTM8,0.8844196086351266
CNBD1,0.8882434063361554
CNGA4,0.8437397852442406
CNGB3,0.8602864955600205
CNKSR3,0.6826846719455995
CNN1,0.8934649744362897
CNN2,0.8647929369661063
CNNM2,0.878636097006083
CNOT2,0.8705749399145849
CNOT6,0.8652906318524819
CNR1,0.8807738678252651
CNTN1,0.872883312880009
CNTN2,0.856989592706253
CNTN4,0.7888452498648143
CNTN5,0.5163060266785892
CNTN6,0.8857417472408879
CNTNAP1,0.9078384281463879
CNTNAP3B,0.883278413038936
CNTNAP4,0.8120905198273536
CNTNAP5,0.8881757879708209
COBL,0.8614313234194519
COBLL1,0.8627929024977133
COG5,0.8685298929736408
COL11A1,0.8596947828859669
COL11A2,0.8285209302674348
COL12A1,0.7718099447080486
COL13A1,0.8597935561114896
COL15A1,0.7903997896344876
COL19A1,0.8503564456187725
COL1A1,0.8555902935559404
COL1A2,0.8634128672987771
COL21A1,0.8793991721564938
COL22A1,0.4387414296927464
COL23A1,0.86459005678724
COL24A1,0.8700339271628406
COL25A1,0.8655548007542365
COL28A1,0.887704657941784
COL2A1,0.720442132748971
COL3A1,0.7770520889715705
COL4A1,0.8635071989205964
COL4A2,0.8572429575731978
COL4A3BP,0.8713186695652815
COL4A4,0.8802014647435904
COL4A5,0.8075442066674453
COL4A6,0.8907538423447803
COL5A1,0.8573008741186892
COL5A2,0.8053864642952642
COL6A1,0.8637257750512485
COL6A4P2,0.7761323141427406
COL6A6,0.8766024811515426
COL7A1,0.8824608430276821
COL8A1,0.8049400426898806
COL9A1,0.886221229300687
COLEC10,0.8674641054900524
COLEC11,0.8402575324790157
COLEC12,0.8512446425619535
COLGALT2,0.8155892453814252
COLQ,0.8771524676924688
COPG2,0.859583539483002
CORIN,0.910124728514654
COX4I1,0.8720780237626778
COX7B2,0.8853130058356817
CPA2,0.7427623593769304
CPA6,0.8757067269636988
CPE,0.8777720520911931
CPEB2,0.8586184093457168
CPED1,0.8306782575795031
CPLX2,0.880896929805124
CPM,0.8644080094017534
CPNE4,0.8710186541087123
CPNE5,0.8146818052736904
CPNE8,0.8531668880598992
CPQ,0.8692278136279206
CPS1,0.8822429422043102
CPXM1,0.40488483395948766
CR1L,0.8591215168292542
CRABP1,0.8990778371044499
CRADD,0.8781023526532735
CREB1,0.8628760711386263
CREB3L2,0.8684551467229972
CREB5,0.8187649300252496
CRIM1,0.8684206284785784
CRISPLD1,0.8639203257129638
CRLF1,0.8351946279679914
CRNDE,0.8699159305374566
CRTC3,0.8749010089366076
CRYAB,0.9079986855765181
CRYBA4,0.9257577760609991
CRYBB1,0.9090388482982834
CSDC2,0.8234263779798257
CSF1,0.8828806776053856
CSGALNACT1,0.8425797129008996
CSMD1,0.8720278793223022
CSMD3,0.8792288670307372
CSNK1A1P1,0.8841501381744377
CSPG4,0.846099011014146
CSRNP3,0.8789883833194662
CSRP1,0.8663658576072608
CSTF3,0.8589525071027825
CTB-99A3.1,0.9244788898016932
CTDSPL,0.855249761502437
CTGF,0.8609981036727248
CTHRC1,0.862904768411728
CTIF,0.8695840044480463
CTNNA3,0.8650173543883296
CTSF,0.9223015798345179
CTSL,0.8734940315888415
CTSV,0.848994208585726
CTTNBP2,0.7905904800336385
CUBN,0.8633399235988274
CUL1,0.801781620285544
CUX2,0.8733601356440129
CWC27,0.8079733528392458
CWF19L2,0.8694833747022845
CXCL14,0.8683813628890233
CXCL6,0.9093333386149777
CXXC4,0.8772338644972273
